sr3-rtx shape probe - world-space bounds of every draw near the camera, one frame
frame 1550, camera (96.3 147.7 36.1)
flat = smallest axis relative to the largest; a dish, cap or ring is very flat

 draw disp     verts  prims  size x/y/z             centre                    dist  flat  shader / why
  731 MARK     2488   14     44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
  772 MARK     1267   308    61.7/100.0/61.1        156/87/-83               146.6  0.61  ps='' rank=0 | prepass: shader samples nothing
  773 MARK     1209   507    62.0/237.5/62.1        51/156/-83               128.1  0.26  ps='' rank=0 | prepass: shader samples nothing
  848 MARK     1486   8      157.5/80.2/73.4        201/44/-178              260.2  0.47  ps='' rank=0 | prepass: shader samples nothing
  851 MARK     1486   1728   157.5/80.2/73.4        201/44/-178              260.2  0.47  ps='' rank=0 | prepass: shader samples nothing
  870 MARK     3506   524    41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
  871 MARK     2488   20     44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
  882 MARK     138    232    6.3/10.6/7.2           174/142/-101             157.5  0.59  ps='' rank=0 | prepass: shader samples nothing
  883 MARK     138    232    6.3/10.6/7.2           69/135/-224              261.9  0.59  ps='' rank=0 | prepass: shader samples nothing
  885 MARK     3506   1161   41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
  886 MARK     2488   525    44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
  887 MARK     1267   833    61.7/100.0/61.1        156/87/-83               146.6  0.61  ps='' rank=0 | prepass: shader samples nothing
  888 MARK     1209   743    62.0/237.5/62.1        51/156/-83               128.1  0.26  ps='' rank=0 | prepass: shader samples nothing
  893 MARK     148    44     39.6/61.4/39.6         51/140/-163              204.1  0.64  ps='' rank=0 | prepass: shader samples nothing
  895 MARK     12     8      43.6/0.0/43.6          51/129/-210              250.8  0.00  ps='' rank=0 | prepass: shader samples nothing
 1006 MARK     1486   225    157.5/80.2/73.4        201/44/-178              260.2  0.47  ps='' rank=0 | prepass: shader samples nothing
 1041 MARK     1486   206    157.5/80.2/73.4        201/44/-178              260.2  0.47  ps='' rank=0 | prepass: shader samples nothing
 1043 MARK     3506   882    41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
 1045 MARK     2488   128    44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
 1046 MARK     2488   270    44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
 1047 MARK     1267   155    61.7/100.0/61.1        156/87/-83               146.6  0.61  ps='' rank=0 | prepass: shader samples nothing
 1048 MARK     1209   100    62.0/237.5/62.1        51/156/-83               128.1  0.26  ps='' rank=0 | prepass: shader samples nothing
 1049 MARK     1209   158    62.0/237.5/62.1        51/156/-83               128.1  0.26  ps='' rank=0 | prepass: shader samples nothing
 1050 MARK     1486   308    157.5/80.2/73.4        201/44/-178              260.2  0.47  ps='' rank=0 | prepass: shader samples nothing
 1051 MARK     3506   244    41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
 1052 MARK     3506   620    41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
 1054 MARK     2488   236    44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
 1055 MARK     2488   244    44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
 1056 MARK     1267   644    61.7/100.0/61.1        156/87/-83               146.6  0.61  ps='' rank=0 | prepass: shader samples nothing
 1057 MARK     1209   332    62.0/237.5/62.1        51/156/-83               128.1  0.26  ps='' rank=0 | prepass: shader samples nothing
 1059 MARK     74     117    155.4/24.0/71.7        201/71/-179              250.8  0.15  ps='' rank=0 | prepass: shader samples nothing
 1060 MARK     148    236    39.6/61.4/39.6         51/140/-163              204.1  0.64  ps='' rank=0 | prepass: shader samples nothing
 1062 MARK     12     2      43.6/0.0/43.6          51/129/-210              250.8  0.00  ps='' rank=0 | prepass: shader samples nothing
 1063 MARK     7      7      60.4/0.0/59.7          156/137/-83              133.9  0.00  ps='' rank=0 | prepass: shader samples nothing
 1064 MARK     19     31     60.1/65.9/60.1         51/241/-83               158.4  0.91  ps='' rank=0 | prepass: shader samples nothing
 1066 MARK     3506   22     41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
 1067 MARK     3506   261    41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
 1068 MARK     3506   44     41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
 1070 MARK     2488   428    44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
 1071 MARK     2488   22     44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
 1072 MARK     2488   261    44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
 1085 MARK     261    492    1.3/1.0/1.1            105/150/24                15.2  0.74  ps='' rank=0 | prepass: shader samples nothing
 1086 MARK     261    492    1.3/1.0/1.1            102/150/24                13.5  0.74  ps='' rank=0 | prepass: shader samples nothing
 1087 MARK     261    492    1.3/1.0/1.1            92/150/24                 13.0  0.74  ps='' rank=0 | prepass: shader samples nothing
 1088 MARK     640    1003   1.3/0.5/0.5            103/150/24                14.3  0.36  ps='' rank=0 | prepass: shader samples nothing
 1089 MARK     640    1003   1.3/0.5/0.5            90/150/24                 13.7  0.36  ps='' rank=0 | prepass: shader samples nothing
 1090 PASS     990    1905   0.4/0.3/0.3            97/146/30                  6.8  0.63  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1091 PASS     990    472    0.4/0.3/0.3            97/146/30                  6.8  0.63  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1092 PASS     130    313    0.2/0.1/0.1            97/148/30                  6.5  0.46  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1093 PASS     764    1694   0.2/0.3/0.3            97/147/30                  6.4  0.54  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1094 PASS     7977   739    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1095 PASS     7977   3408   1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1096 PASS     7977   427    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1097 PASS     7977   677    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1098 PASS     7977   315    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1099 PASS     7977   284    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1100 PASS     7977   222    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1101 PASS     7977   383    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1102 PASS     7977   154    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1103 PASS     7977   250    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1104 PASS     7977   628    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1105 PASS     7977   851    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1106 PASS     7977   168    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
